Tanggal;Rate
16 Juli 2025;5.25 %
18 Juni 2025;5.50 %
21 Mei 2025;5.50 %
23 April 2025;5.75 %
19 Maret 2025;5.75 %
19 Februari 2025;5.75 %
15 Januari 2025;5.75 %
18 Desember 2024;6.00 %
20 November 2024;6.00 %
16 Oktober 2024;6.00 %
18 September 2024;6.00 %
21 Agustus 2024;6.25 %
17 Juli 2024;6.25 %
20 Juni 2024;6.25 %
22 Mei 2024;6.25 %
24 April 2024;6.25 %
20 Maret 2024;6.00 %
21 Februari 2024;6.00 %
17 Januari 2024;6.00 %
21 Desember 2023;6.00 %
23 November 2023;6.00 %
19 Oktober 2023;6.00 %
21 September 2023;5.75 %
24 Agustus 2023;5.75 %
25 Juli 2023;5.75 %
22 Juni 2023;5.75 %
25 Mei 2023;5.75 %
18 April 2023;5.75 %
16 Maret 2023;5.75 %
16 Februari 2023;5.75 %
19 Januari 2023;5.75 %
22 Desember 2022;5.50 %
17 November 2022;5.25 %
20 Oktober 2022;4.75 %
22 September 2022;4.25 %
23 Agustus 2022;3.75 %
21 Juli 2022;3.50 %
23 Juni 2022;3.50 %
24 Mei 2022;3.50 %
19 April 2022;3.50 %
17 Maret 2022;3.50 %
10 Februari 2022;3.50 %
20 Januari 2022;3.50 %
16 Desember 2021;3.50 %
18 November 2021;3.50 %
19 Oktober 2021;3.50 %
21 September 2021;3.50 %
19 Agustus 2021;3.50 %
22 Juli 2021;3.50 %
17 Juni 2021;3.50 %
25 Mei 2021;3.50 %
20 April 2021;3.50 %
18 Maret 2021;3.50 %
18 Februari 2021;3.50 %
21 Januari 2021;3.75 %
